Ainasto, Juuso	G	NA	NA	?	FIN	
Stengrim, Kade	LW	NA	NA	?	CAN	
McCann, Kadon	C	6'3	205	R	CAN	
Smith, Kaenan	G	NA	NA	?	UNK	
Donia, Kaiden	D	NA	NA	?	USA	
Varga, Kalder	RW	5'11	170	R	CAN	
Hemstrom, Kalle	C	NA	NA	?	SWE	
Flugins, Karlis	RW	5'11	185	R	LAT	
Lemire, Kayden	RW	NA	NA	?	CAN	
Verhoeff, Keaton	D	6'4	212	R	CAN	2008-06-19
Sauer, Kent	C	NA	NA	?	USA	
Sutter, Kimi	RW	NA	NA	?	SUI	
Buzaev, Kirill	LW	NA	NA	?	RUS	
Bridgeman, Kolten	D	6'4	216	L	CAN	
Korneyev, Kornei	RW	6'0	172	R	KAZ	
Heger, Kyle	D	NA	NA	?	USA	
Hafele, Landon	LW	6'0	187	L	USA	
Nycz, Landon	D	6'2	201	L	USA	
Steiner, Lars	RW	5'11	181	R	SUI	
Sinivuori, Lauri	LW	6'1	179	R	FIN	
Gashilov, Lavr	C	6'2	170	R	RUS	
Laschon, Leo	D	NA	NA	?	CAN	
Sundqvist, Leo	RW	5'9	170	L	SWE	
Tuuva, Leo	RW	NA	NA	?	FIN	
Kolarik, Leon	LW	5'11	170	L	AUT	
Katzin, Lev	C	5'8	176	R	CAN	
Beamish, Liam	C	5'11	190	R	CAN	
Danielsson, Liam	RW	NA	NA	?	SWE	
Dube, Liam	C	5'10	159	R	SUI	
Kilfoil, Liam	C	5'11	183	R	CAN	
Lefebvre, Liam	C	NA	NA	?	CAN	2007-05-15
Ruck, Liam	RW	5'11	176	R	CAN	
Krizizke, Lincoln	D	NA	NA	?	USA	
Kuehne, Lincoln	D	6'2	201	R	USA	
Loob Trygg, Linus	RW	6'0	168	L	NOR	
Edmonstone, Logan	G	5'11	170	L	CAN	
Hawery, Logan	LW	5'10	170	L	CAN	
Lutner, Logan	D	5'10	172	R	USA	
Stuart, Logan	RW	5'10	163	R	USA	
Bourque, Louis Felix	RW	NA	NA	?	CAN	
Bélanger, Louis-Francois	LW	5'8	163	L	CAN	
Ambrosio, Lucas	D	NA	NA	?	CAN	
Karmiris, Lucas	C	5'11	190	L	CAN	
Zajic, Lucas	RW	5'10	174	R	USA	
Bernat, Lucian	RW	NA	NA	?	SVK	
Andersson, Ludvig	RW	NA	NA	?	SWE	
Soderberg, Ludvig	D	NA	NA	?	SWE	
Radivojevic, Luka	D	5'10	168	L	USA	
Andersson, Lukas	C	NA	NA	?	SWE	
Sawchyn, Lukas	RW	5'10	174	L	CAN	
Zajic, Lukas	RW	NA	NA	?	USA	
